warm
stir
pour
chop
grate
shake
mince
crush
freeze
freezing
squeeze
mix
season
melt
cover
garnish
spread
sprinkle
flip
cut
combine
drain
cool
thaw
sift
fold
scoop
brown
roll
crumble
slice
scatter
toss
preheat
prepare
rinse
top
coat
spoon
beat
break
skim
tap
baste
blend
warming
stirring
pouring
chopping
grating
shaking
mincing
crushing
squeezing
mixing
seasoning
melting
covering
garnishing
spreading
sprinkling
flipping
cutting
combining
draining
cooling
thawing
sifting
folding
scooping
browning
rolling
crumbling
slicing
scattering
tossing
preheating
preparing
rinsing
topping
coating
spooning
beating
breaking
skimming
tapping
basting
blending
saute
broil
poach
boil
roast
fry
stirfry
stir-fry
stir fry
grill
grilled
barbecue
bbq
steam
simmer
bake
stew
